,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,len
342,15-02-02,SUNNYBROOK & WOMEN'S COLLEGE HEALTH SCIENCES CENTRE,M4V 3M5,B063238757,PRIVATE PARKING ENFORCEMENT AGENCY,M4V3M5,0.0,0.0,7
2447,28-06-07,IMPERIAL HEALTH SPA CLINIC,M2K 4A9,B303724637,HOLISTIC CENTRE,M2K4A9,0.0,0.0,7
2468,12-05-08,IMPERIAL HEALTH CLINIC,M2K 4A9,B303834952,HOLISTIC CENTRE,M2K4A9,0.0,0.0,7
2735,01-03-04,YUWEI,M2S 2M5,B303371893,HOLISTIC CENTRE,M2S2M5,0.0,0.0,7
3007,03-09-08,IMPERIAL HEALTH CLINIC,M2K 4A9,B303839892,HOLISTIC CENTRE,M2K4A9,0.0,0.0,7
3222,28-10-13,IMPERIAL HEALTH SPA & CLINIC,M2K 4A9,B304315011,HOLISTIC CENTRE,M2K4A9,0.0,0.0,7
3647,06-10-15,IMPERIAL HEALTH SPA & CLINIC,M2K 4A9,B304541907,HOLISTIC CENTRE,M2K4A9,0.0,0.0,7
4924,01/01/00,CHEERS SMOKE & GIFTS SHOP,M5T 0X0,B453103107,SMOKE SHOP,M5T0X0,0.0,0.0,7
5422,20/06/85,BECKER'S,       ,B500025967,RETAIL STORE (FOOD),      ,0.0,0.0,7
6269,08/04/97,BECKER'S MILK,       ,B503005935,RETAIL STORE (FOOD),      ,0.0,0.0,7
6300,12/09/83,ANGELICAS POTATO CHIPS,       ,B500014695,RETAIL STORE (FOOD),      ,0.0,0.0,7
6301,12/09/83,COUSIN CHLOE'S COTTON CANDY,       ,B500014737,RETAIL STORE (FOOD),      ,0.0,0.0,7
6691,01/01/93,TREATS,M5J 1P2,B500221738,RETAIL STORE (FOOD),M5J1P2,0.0,0.0,7
8542,27/02/96,CAN CAN FOOD & VENDING SERVICES LTD,       ,B500242267,RETAIL STORE (FOOD),      ,0.0,0.0,7
9619,24/03/95,STARS FOOD SHOP ESPRESSO BAR AND CATERING INC,M5B 1J8,B500236525,RETAIL STORE (FOOD),M5B1J8,0.0,0.0,7
10399,05/09/91,DRUXY'S FAMOUS DELI SANDWICHES,M5J 1H3,B500213851,RETAIL STORE (FOOD),M5J1H3,0.0,0.0,7
10415,02/05/80,TEA MASTERS,M5J 1P2,B500000504,RETAIL STORE (FOOD),M5J1P2,0.0,0.0,7
12322,20-05-03,EURO-MAK MARKET,M5B 2V7,B503358635,RETAIL STORE (FOOD),M5B2V7,0.0,0.0,7
13063,03/06/94,GATEWAY NEWSTANDS,M3P 3L2,B500231563,RETAIL STORE (FOOD),M3P3L2,0.0,0.0,7
13640,09/06/94,GATEWAY NEWSTANDS #123,M3T 1T8,B500231691,RETAIL STORE (FOOD),M3T1T8,0.0,0.0,7
14379,09-08-04,GATEWAY NEWSTANDS,M3P 3L2,B503481614,RETAIL STORE (FOOD),M3P3L2,0.0,0.0,7
15318,20-05-05,CONVENIENCE,M2S 1P3,B503593092,RETAIL STORE (FOOD),M2S1P3,0.0,0.0,7
15782,28/02/96,THE UCS GROUP #4161,M5J 1N2,B500242342,RETAIL STORE (FOOD),M5J1N2,0.0,0.0,7
15927,01-01-03,CELLARS CHOICE,M8E 1L5,B503250934,RETAIL STORE (FOOD),M8E1L5,0.0,0.0,7
15960,22-12-05,WAYNE'S WINE WORLD,M8S 1P2,B503501131,RETAIL STORE (FOOD),M8S1P2,0.0,0.0,7
17465,29-05-07,GATEWAY NEWSTANDS,M8H 1R5,B503617736,RETAIL STORE (FOOD),M8H1R5,0.0,0.0,7
17679,09-05-06,DOMINION (STORE #442),M8G 1C5,B503608259,RETAIL STORE (FOOD),M8G1C5,0.0,0.0,7
18848,19-11-08,EXCELLENT MANAGEMENT SERVICE,M8H 1R5,B503843911,RETAIL STORE (FOOD),M8H1R5,0.0,0.0,7
19482,26-08-04,LAURA SECORD,M5X 1D1,B503482777,RETAIL STORE (FOOD),M5X1D1,0.0,0.0,7
19496,25/04/90,MADE IN JAPAN A TERIYAKI EXPERIENCE,M5E 2B4,B500205325,RETAIL STORE (FOOD),M5E2B4,0.0,0.0,7
20382,20-08-07,CHOCOLATEASE,M8S 1P2,B503726354,RETAIL STORE (FOOD),M8S1P2,0.0,0.0,7
22574,03-05-13,Z-TECA,M6N 6L8,B504308135,RETAIL STORE (FOOD),M6N6L8,0.0,0.0,7
23192,22-11-10,LAURA SECORD,M5X 1D1,B504072751,RETAIL STORE (FOOD),M5X1D1,0.0,0.0,7
23660,03-05-10,909 MANAGEMENT SERVICES,M8H 1R5,B504065849,RETAIL STORE (FOOD),M8H1R5,0.0,0.0,7
23795,14-11-14,FAST FRESH FOODS,M5J 0P8,B504428673,RETAIL STORE (FOOD),M5J0P8,0.0,0.0,7
23820,26-06-14,4D VARIETY & CONVENIENCE,M1P 0P1,B504423970,RETAIL STORE (FOOD),M1P0P1,0.0,0.0,7
24500,12/09/83,PACHINO PIZZA PALACE,       ,B500014687,RETAIL STORE (FOOD),      ,0.0,0.0,7
24501,12/09/83,PRO SHOP CLUB HOUSE,       ,B500014703,RETAIL STORE (FOOD),      ,0.0,0.0,7
24502,12/09/83,POPCORN BOOTH,       ,B500014711,RETAIL STORE (FOOD),      ,0.0,0.0,7
24503,12/09/83,MEAT MARKET DELI,       ,B500014729,RETAIL STORE (FOOD),      ,0.0,0.0,7
24504,12/09/83,MR FLIPP'S POPCORN WAGON,       ,B500014745,RETAIL STORE (FOOD),      ,0.0,0.0,7
24505,12/09/83,CIDER BAR,       ,B500014752,RETAIL STORE (FOOD),      ,0.0,0.0,7
24506,12/09/83,BUMBLE PROP ICE CREAM,       ,B500014760,RETAIL STORE (FOOD),      ,0.0,0.0,7
24507,12/09/83,SISTER SARAH'S CAKE SHOP,       ,B500014778,RETAIL STORE (FOOD),      ,0.0,0.0,7
24788,10-11-05,COLES,M5J 1N2,B503500620,RETAIL STORE (FOOD),M5J1N2,0.0,0.0,7
25433,05-03-07,GATEWAY NEWSTAND,M3P 3L2,B503619096,RETAIL STORE (FOOD),M3P3L2,0.0,0.0,7
25870,05-11-08,METRO #442,M8G 1C5,B503844652,RETAIL STORE (FOOD),M8G1C5,0.0,0.0,7
25937,22-12-08,,M5J 1N2,B503842257,RETAIL STORE (FOOD),M5J1N2,0.0,0.0,7
27593,05-02-13,BENTO NOUVEAU,M8G 1C5,B504202406,RETAIL STORE (FOOD),M8G1C5,0.0,0.0,7
27831,11-06-13,STOP SHOP,M3Y 0G6,B504308525,RETAIL STORE (FOOD),M3Y0G6,0.0,0.0,7
28299,18-03-14,TARGET #T7002,M6N 0A3,B504419871,RETAIL STORE (FOOD),M6N0A3,0.0,0.0,7
28365,17-04-14,NEW OCEAN SUPERMARKET,M1B 5K0,B504419009,RETAIL STORE (FOOD),M1B5K0,0.0,0.0,7
28402,06-05-14,Z-TECA,M6N 6L8,B504421626,RETAIL STORE (FOOD),M6N6L8,0.0,0.0,7
28485,24-06-14,WINNERS,M6N 0A3,B504420569,RETAIL STORE (FOOD),M6N0A3,0.0,0.0,7
28486,24-06-14,HOMESENSE,M6N 0A3,B504420570,RETAIL STORE (FOOD),M6N0A3,0.0,0.0,7
28712,16-09-14,SHANTY WEST INDIAN GROCERIES ON WHEELS,M6W 2N1,B504418124,RETAIL STORE (FOOD),M6W2N1,0.0,0.0,7
28763,10-10-14,FRESHWEST GRILL,M5Y 0B8,B504427950,RETAIL STORE (FOOD),M5Y0B8,0.0,0.0,7
29136,27-03-15,BELMONTE RAW,M5X 1D1,B504534485,RETAIL STORE (FOOD),M5X1D1,0.0,0.0,7
29266,02-05-15,ZTECA GOURMET BURRITOS,M5J 0A8,B504535442,RETAIL STORE (FOOD),M5J0A8,0.0,0.0,7
29274,08-05-15,BUSTER'S SEA COVE,M5J 0A8,B504533713,RETAIL STORE (FOOD),M5J0A8,0.0,0.0,7
29345,27-06-15,HEALTHY ISLAND,M8V 0B7,B504537328,RETAIL STORE (FOOD),M8V0B7,0.0,0.0,7
29540,15-09-15,SUSHI SHOP,M5J 0A8,B504541386,RETAIL STORE (FOOD),M5J0A8,0.0,0.0,7
29541,15-09-15,THAI EXPRESS,M5J 0A8,B504541383,RETAIL STORE (FOOD),M5J0A8,0.0,0.0,7
29546,16-09-15,PHARMX REXALL,M3M 0B2,B504540188,RETAIL STORE (FOOD),M3M0B2,0.0,0.0,7
29558,18-09-15,FAST FRESH FOODS,M5J 0P8,B504541547,RETAIL STORE (FOOD),M5J0P8,0.0,0.0,7
30116,13/07/95,SOFIYA UNISEX HAIRSTYLING,M4Z 2Z8,B560238700,PERSONAL SERVICE SETTINGS,M4Z2Z8,0.0,0.0,7
34174,12-12-11,BELLE SANTE SALON & SPA INC,M3K 0A6,B564188889,PERSONAL SERVICE SETTINGS,M3K0A6,0.0,0.0,7
34918,20/04/95,JANINA'S HAIRCUTS FOR ALL,M8K 1Y3,B560237159,PERSONAL SERVICE SETTINGS,M8K1Y3,0.0,0.0,7
35156,10-10-03,AMMY'S ART ET COIFFURE,M5N 4A4,B563366338,PERSONAL SERVICE SETTINGS,M5N4A4,0.0,0.0,7
36010,23-07-12,BOOKIES BARBERS AND HAIRDRESSING SALON,M5E 2V3,B564293304,PERSONAL SERVICE SETTINGS,M5E2V3,0.0,0.0,7
36144,15-04-13,MAHROSE BEAUTY PARLOUR,M1V 1O7,B564305894,PERSONAL SERVICE SETTINGS,M1V1O7,0.0,0.0,7
36302,10-02-15,SARAH BRIDAL'S SALON & SPA,M1X 0B7,B564429953,PERSONAL SERVICE SETTINGS,M1X0B7,0.0,0.0,7
36582,11-09-14,HEAD CANDY SALON,M8E 1L5,B564426407,PERSONAL SERVICE SETTINGS,M8E1L5,0.0,0.0,7
37747,01/01/74,TORONTO ISLAND MARINA,M4J 5G4,B570000794,LAUNDRY,M4J5G4,0.0,0.0,7
38406,19-10-10,THE PREENERS,M5K 2J7,B574072916,LAUNDRY,M5K2J7,0.0,0.0,7
38427,01/01/74,COUNTRY CLEAN COIN LAUNDRY,M4T 3P8,B570005439,LAUNDRY,M4T3P8,0.0,0.0,7
38831,26-05-04,TORONTO ISLAND MARINA,M4J 5G4,B573475530,LAUNDRY,M4J5G4,0.0,0.0,7
39613,10-09-10,CASHMAX PAYDAY LOANS,M8V 5H7,B624070361,PRECIOUS METAL SHOP,M8V5H7,0.0,0.0,7
39796,20-03-12,WATCHFINDER EGLINTON,M5N 1E2,B624291461,PRECIOUS METAL SHOP,M5N1E2,0.0,0.0,7
39976,20-03-12,WATCHFINDER EGLINTON,M5N 1E2,B634291463,PAWN SHOP,M5N1E2,0.0,0.0,7
40177,27-06-14,PETSMART,M6N 0A3,B644421356,PET SHOP,M6N0A3,0.0,0.0,7
45403,01/01/74,TORONTO ISLAND MARINA,M4J 5G4,B680002912,PUBLIC GARAGE,M4J5G4,0.0,0.0,7
52136,26-05-04,TORONTO ISLAND MARINA,M4J 5G4,B683365788,PUBLIC GARAGE,M4J5G4,0.0,0.0,7
52924,19-02-10,SILVERBACK EQUIPMENT SALES,M5Z 5K1,B683845073,PUBLIC GARAGE,M5Z5K1,0.0,0.0,7
54608,08-10-02,MCLEAN HOUSE,M4V 3M5,B703249807,PUBLIC HALL,M4V3M5,0.0,0.0,7
54609,21-10-02,VAUGHAN ESTATE,M4V 3M5,B703249812,PUBLIC HALL,M4V3M5,0.0,0.0,7
54828,06-05-11,SCARBOROUGH BANQUET & CONVENTION CENTRE,M1X 0B3,B704181140,PUBLIC HALL,M1X0B3,0.0,0.0,7
54893,01/10/82,,       ,B710020489,EATING ESTABLISHMENT,      ,0.0,0.0,7
56259,04/10/90,MANCHU WOK,M5J 1N2,B710208055,EATING ESTABLISHMENT,M5J1N2,0.0,0.0,7
57556,26/08/96,CULTURES RESTAURANT,M5J 1P2,B710245647,EATING ESTABLISHMENT,M5J1P2,0.0,0.0,7
58023,27/08/96,NEW YORK CITY STEAK HOUSE,M7B 2A2,B710245666,EATING ESTABLISHMENT,M7B2A2,0.0,0.0,7
58450,25/09/84,,M5K 3Y2,B710023806,EATING ESTABLISHMENT,M5K3Y2,0.0,0.0,7
58571,27/09/83,LITTLE FOOT LAND,       ,B710021784,EATING ESTABLISHMENT,      ,0.0,0.0,7
59234,11/06/99,THE NEW YORK CITY STEAK HOUSE,M7B 2A2,B713098719,EATING ESTABLISHMENT,M7B2A2,0.0,0.0,7
59811,24/02/93,ROYAL BANK / RESTAURONICS,M5J 1P2,B710223057,EATING ESTABLISHMENT,M5J1P2,0.0,0.0,7
59953,14/01/00,,M5K 2J7,B713103410,EATING ESTABLISHMENT,M5K2J7,0.0,0.0,7
60168,01/01/74,,       ,B710009136,EATING ESTABLISHMENT,      ,0.0,0.0,7
61522,19-07-01,LICK'S,M1V 4F5,B713124981,EATING ESTABLISHMENT,M1V4F5,0.0,0.0,7
62787,03/11/99,MCDONALD'S,M5J 1H3,B713102891,EATING ESTABLISHMENT,M5J1H3,0.0,0.0,7
63007,11/05/00,LI CHENG RESTAURANT,M7B 2A2,B713108984,EATING ESTABLISHMENT,M7B2A2,0.0,0.0,7
65194,18/06/99,MANCHU WOK,M5J 1N2,B713096036,EATING ESTABLISHMENT,M5J1N2,0.0,0.0,7
65517,16-01-03,TIMOTHY'S WORLD COFFEE,M5K 2J7,B713252623,EATING ESTABLISHMENT,M5K2J7,0.0,0.0,7
65841,18/07/00,CULTURES RESTAURANT,M5J 1P2,B713107368,EATING ESTABLISHMENT,M5J1P2,0.0,0.0,7
65947,06/06/95,BURGER KING,M5J 1P2,B710238102,EATING ESTABLISHMENT,M5J1P2,0.0,0.0,7
66854,10-06-03,DUNCAN DELI NO 2,M5T 0X0,B713359295,EATING ESTABLISHMENT,M5T0X0,0.0,0.0,7
67426,16-07-02,INDIAN FLAVOUR,M5J 1H3,B713246322,EATING ESTABLISHMENT,M5J1H3,0.0,0.0,7
67456,27/07/95,SUB KING,M5J 1H3,B710239032,EATING ESTABLISHMENT,M5J1H3,0.0,0.0,7
67789,19-10-04,TIMOTHY'S WORLD COFFEE,M5K 2J7,B713483335,EATING ESTABLISHMENT,M5K2J7,0.0,0.0,7
68293,06-02-03,MCDONALD'S,M5J 1H3,B713254588,EATING ESTABLISHMENT,M5J1H3,0.0,0.0,7
68961,12/06/91,MARRIOTT MANAGEMENT SERVICES,M5S 7C8,B710212357,EATING ESTABLISHMENT,M5S7C8,0.0,0.0,7
71630,01-01-02,DRUXY'S,M4V 3M5,B713127170,EATING ESTABLISHMENT,M4V3M5,0.0,0.0,7
72818,26-07-02,SUNNYBROOK HOSPITAL #25710,M4V 3M5,B713248203,EATING ESTABLISHMENT,M4V3M5,0.0,0.0,7
73238,09-05-06,MCDONALD'S RESTAURANT,M5J 1H3,B713606912,EATING ESTABLISHMENT,M5J1H3,0.0,0.0,7
