,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
102201,102230,13/06/67,CHIMNEY AND FIREPLACE SER,L9R,T850026030,BUILDING RENOVATOR,L9R,44.161137,-79.864695,1967,L9R
102202,102231,28/06/78,QUALITY & GENERAL CONSTRUCTION,M9L,T850038076,BUILDING RENOVATOR,M9L,43.75901,-79.545197,1978,M9L
102203,102232,19/09/83,,M1H,T850058892,BUILDING RENOVATOR,M1H,43.770981,-79.238007,1983,M1H
102204,102233,29/07/92,D/JAY INSTALLATIONS,L4C,T850219667,BUILDING RENOVATOR,L4C,43.894145,-79.436629,1992,L4C
102205,102234,02/06/94,MIROSS CORPORATION,M5M,T850231529,BUILDING RENOVATOR,M5M,43.735323,-79.418211,1994,M5M
102206,102235,18/02/76,,M1C,T850007584,BUILDING RENOVATOR,M1C,43.789091,-79.160265,1976,M1C
102207,102236,31/05/76,,L1V,T850036229,BUILDING RENOVATOR,L1V,43.835053,-79.099848,1976,L1V
102208,102237,11/03/88,CARMEN RENOVATIONS,L1V,T850099219,BUILDING RENOVATOR,L1V,43.835053,-79.099848,1988,L1V
102209,102238,04/10/88,,M1B,T850106246,BUILDING RENOVATOR,M1B,43.754569,-79.352342,1988,M1B
102210,102239,05/02/96,CLIFFORD RESTORATION LIMITED,M1L,T850241892,BUILDING RENOVATOR,M1L,43.701933,-79.276201,1996,M1L
102211,102240,20/02/67,,M8Z,T850034034,BUILDING RENOVATOR,M8Z,43.637002,-79.520842,1967,M8Z
102212,102241,11/03/83,,M1P,T850054859,BUILDING RENOVATOR,M1P,43.752142,-79.265428,1983,M1P
102213,102242,28/01/83,,M6S,T850053844,BUILDING RENOVATOR,M6S,43.650799,-79.48121,1983,M6S
102214,102243,16/05/88,,L6R,T850095530,BUILDING RENOVATOR,L6R,43.781442,-79.77058,1988,L6R
102215,102244,03/05/77,,L4L,T850027673,BUILDING RENOVATOR,L4L,43.792539,-79.551279,1977,L4L
102216,102245,21/02/79,,L3P,T850001603,BUILDING RENOVATOR,L3P,43.88032,-79.361522,1979,L3P
102217,102246,26/07/66,CLINTON CONSTRUCTION CO,L6T,T850027533,BUILDING RENOVATOR,L6T,43.739983,-79.650583,1966,L6T
102218,102247,01/01/90,,M9L,T850202965,BUILDING RENOVATOR,M9L,43.75901,-79.545197,1990,M9L
102219,102248,19/03/91,GREENVALLEY CONSTRUCTION,L4L,T850210763,BUILDING RENOVATOR,L4L,43.792539,-79.551279,1991,L4L
102220,102249,13/04/94,C M GENERAL CONTRACTING,M1K,T850230501,BUILDING RENOVATOR,M1K,43.720406,-79.255784,1994,M1K
102221,102250,28/07/81,,M1W,T850022849,BUILDING RENOVATOR,M1W,43.800983,-79.319534,1981,M1W
102222,102251,04/10/88,CHAN ALUMINIUM,M6M,T850106253,BUILDING RENOVATOR,M6M,43.689769,-79.490769,1988,M6M
102223,102252,12/12/75,,M6K,T850014382,BUILDING RENOVATOR,M6K,43.641291,-79.414722,1975,M6K
102224,102253,04/10/68,KINGSWAY HOME IMPROVEMENT,L6T,T850030628,BUILDING RENOVATOR,L6T,43.739983,-79.650583,1968,L6T
102225,102254,08/09/77,WESTERN GENERAL RENOVATION,M1V,T850031147,BUILDING RENOVATOR,M1V,43.810753,-79.292694,1977,M1V
102226,102255,19/07/96,,M6C,T850245109,BUILDING RENOVATOR,M6C,43.69846,-79.438896,1996,M6C
102227,102256,30/04/80,,M1S,T850005752,BUILDING RENOVATOR,M1S,43.792274,-79.28638,1980,M1S
102228,102257,15/10/70,ART'S ALUMINUM WINDOWS AND DOORS,L4W,T850035486,BUILDING RENOVATOR,L4W,43.641258,-79.614474,1970,L4W
