,Operating Name,Issued,year,postal,area
54867,FIT FOR LIFE,12/07/95,1995,M2M4K2,M2M
54868,CAFE PRESTO,24/01/90,1990,M9N2A7,M9N
54869,MARRIOTT MANAGEMENT SERVICES,20/06/91,1991,M2N6H2,M2N
54870,MARRIOTT MANAGEMENT SERVICES,28/06/91,1991,M5G2E1,M5G
54871,SERVIFOOD LTD,09/10/91,1991,M2N6A4,M2N
54872,MARRIOTT MANAGEMENT SERVICES,20/02/92,1992,M3C2H4,M3C
54873,"LAURA'S SUBS, YOGURTS",19/06/92,1992,M4M1K1,M4M
54874,GIANCARLO'S PLACE,26/04/95,1995,M2N4Y2,M2N
54875,SUPER INDIAN CUISINE INC,24/09/92,1992,M9M2C8,M9M
54876,TEA MASTERS,31/03/93,1993,M5E1G4,M5E
54877,SAN VITO RESTAURANT,18/05/95,1995,M8Y1K7,M8Y
54878,PIZZA PLUS RESTAURANT,26/03/96,1996,M4K3V7,M4K
54879,RAINBOW CAFE,15/04/96,1996,M5R2A5,M5R
54880,GIOVANNI LOGATTO,05/01/94,1994,M6G3C1,M6G
54881,RICH'N FAMOUS CAFE,07/02/95,1995,M4A2V6,M4A
54882,STEPHEN'S DONUTS,04/01/96,1996,M9N2S2,M9N
54883,VILLAGE HOST CATERING,01/05/92,1992,M1S4N4,M1S
54884,DENNY'S,09/01/97,1997,M1G3M6,M1G
54885,K.I.S.S. RESTAURANT-BAR,26/05/95,1995,M5T2R8,M5T
54886,CARIB COUNTRY RESTAURANT,01/11/95,1995,M1M1P1,M1M
54887,DENNY'S,09/01/97,1997,M1G3M6,M1G
54888,,01/01/54,1954,M5T3K6,M5T
54889,,01/01/70,1970,M4Y2G5,M4Y
54890,,02/10/78,1978,M1R3C1,M1R
54891,,04/03/81,1981,M3L1G8,M3L
54892,,05/06/75,1975,M5T1H4,M5T
54893,,01/10/82,1982,      ,   
54894,,03/01/84,1984,M6N2X4,M6N
54895,LEW GARDEN RESTAURANT,01/01/89,1989,M5R3G9,M5R
54896,COMPONENT #2624,10/07/89,1989,M1P4W2,M1P
54897,COMPONENT #2621,11/07/89,1989,M5T1T4,M5T
54898,VERSA SERVICES,20/10/89,1989,M1M1P8,M1M
54899,POINTS EAST,26/01/90,1990,M5B2L9,M5B
54900,QUEENSWAY GENERAL,22/03/90,1990,M9C1A4,M9C
54901,VERSA SERVICES LTD,25/02/93,1993,M2J2X5,M2J
54902,1064579 ONTARIO LIMITED,14/02/94,1994,M6E1C4,M6E
54903,BARAN COFFEE SHOP,23/01/96,1996,M4J1L8,M4J
54904,RUFFINO RISTORANTE,01/01/95,1995,M5A1V1,M5A
54905,PIZZA PIZZA,27/05/88,1988,M6E1A1,M6E
54906,PIZZA PIZZA,12/08/88,1988,M1M2Z7,M1M
54907,THANH THANH RESTAURANT,01/01/97,1997,M6P1Y9,M6P
54908,COFFEE BANK,01/01/97,1997,M6M4P6,M6M
54909,ELM RESTAURANT & TAVERN,01/01/68,1968,M5T1P7,M5T
54910,ONE MORE CUP,30/05/96,1996,M2N6L4,M2N
54911,REGGIE'S ROTI PLACE,01/01/91,1991,M6P3S5,M6P
54912,CAPTAIN B.B.Q. CHICKEN INC.,26/05/92,1992,M8V1H2,M8V
54913,MAGNETIC SOUTH,15/10/93,1993,M5A1V2,M5A
54914,3 TURTLES PIZZA & CHICKEN,13/05/94,1994,M1S1H8,M1S
54915,PIZZA PIZZA,01/01/89,1989,M9P2L1,M9P
54916,PIZZA PIZZA,01/02/90,1990,M4C1N2,M4C
54917,PIZZA PIZZA,11/07/90,1990,M4Y1X4,M4Y
54918,PIZZA PIZZA,19/09/90,1990,M4L1H3,M4L
54919,PIZZA PIZZA,20/08/93,1993,M4Y1H2,M4Y
54920,VERSA SERVICES LTD,25/02/93,1993,M1L2L6,M1L
54921,VERSA SERVICES LTD,09/03/93,1993,M5R3B5,M5R
54922,VERSA SERVICES LTD,24/03/93,1993,M9P3V7,M9P
54923,VERSA SERVICES LTD,24/03/93,1993,M8Z1K5,M8Z
54924,VERSA SERVICES LTD,11/05/93,1993,M4Y2Y5,M4Y
54925,VERSA SERVICES LTD,13/05/93,1993,M3K2A5,M3K
54926,VERSA SERVICES LTD,14/04/94,1994,M5H1H1,M5H
54927,VERSA SERVICES LTD,19/04/95,1995,M5K1J7,M5K
54928,VERSA SERVICES LTD,19/04/95,1995,M5H1H1,M5H
54929,LORD STANLEY'S SPORTS BAR LTD,26/02/96,1996,M6E1A6,M6E
54930,BROADVIEW TAVERN,28/01/87,1987,M4M2G1,M4M
54931,WINK SHING B.B.Q. RESTAURANT INC.,10/07/90,1990,M5T1G7,M5T
54932,AFRICA RESTAURANT,29/07/96,1996,M6E2H5,M6E
54933,HAMSI PUB BAR GRILL,21/01/97,1997,M6P3S5,M6P
54934,WINDOWS ON SKYDOME,02/08/89,1989,M5V1J3,M5V
54935,SIGHTLINES LOUNGE/RESTAURANT,02/08/89,1989,M5V1J3,M5V
54936,SKYDOME HOTEL DINING ROOM,02/08/89,1989,M5V1J3,M5V
54937,THE FOUNDERS' CLUB,04/06/90,1990,M5V1J3,M5V
54938,COFFEE N ICE CREAM EXPRESS,07/07/95,1995,M4L1S6,M4L
54939,GREAT MOMENTS IN CATERING,03/08/95,1995,M3J3H2,M3J
54940,FLAVOUR KING RESTAURANT,30/09/96,1996,M9V1A3,M9V
54941,STARBUCKS COFFEE COMPANY,31/01/97,1997,M5A1J4,M5A
54942,A TASQUINHA DO ZE',20/01/97,1997,M6J1X6,M6J
54943,PIZZA PIZZA,01/01/90,1990,M4B2T1,M4B
54944,MANNY'S SNACK BAR,09/01/90,1990,M5S2N3,M5S
54945,LANCAL GOURMET,10/09/97,1997,M3J2G6,M3J
54946,HARBORD FISH & CHIPS,04/05/93,1993,M5S1H1,M5S
54947,DOUBLE DOUBLE PIZZA CHICKEN,10/09/96,1996,M8V1K2,M8V
54948,MYSTERY PIZZA & CHICKEN,09/01/96,1996,M2M3X1,M2M
54949,BASKIN-ROBBINS 31 ICE CREAM,01/01/72,1972,M4P2C6,M4P
54950,JORGENSON HALL,01/01/74,1974,M5B1W7,M5B
54951,RYERSON POLYTECHNIC UNIVERSITY,13/01/92,1992,M5B2M2,M5B
54952,RYERSON POLYTECHNIC UNIVERSITY,13/01/92,1992,M5B1W1,M5B
54953,JORGENSON HALL,01/01/95,1995,M5B1W7,M5B
54954,RYERSON POLYTECHNIC UNIVERSITY,26/07/96,1996,M5B1W7,M5B
54955,RYERSON POLYTECHNIC UNIVERSITY,03/09/96,1996,M5B2K3,M5B
54956,,06/03/74,1974,M1E1R3,M1E
54957,,28/09/79,1979,M1W2Y2,M1W
54958,YANG-LI GARDEN,28/10/93,1993,M1M1P1,M1M
54959,ESPRESSO CUP INC,28/04/94,1994,M1K1N8,M1K
54960,BEAVER FOODS LIMITED,15/06/94,1994,M6M1V3,M6M
54961,BEAVER FOODS LIMITED,15/06/94,1994,M4G1Z4,M4G
54962,BEAVER FOODS LIMITED,21/03/96,1996,M2N6N5,M2N
54963,BEAVER FOODS LIMITED,21/06/90,1990,M1B2K4,M1B
54964,ALBANAIN HOUSE,10/07/96,1996,M6P2M1,M6P
54965,VIETNAM GARDEN RESTAURANT,13/02/91,1991,M1S4T6,M1S
54966,PATTY QUEEN,13/07/93,1993,M6C1B1,M6C
54967,TREDICI,11/06/96,1996,M4S1Z8,M4S
54968,THE SPORTS CAFE,19/06/91,1991,M4V1K6,M4V
54969,BANH MI ``99'' BAKERY,25/05/95,1995,M6K1G4,M6K
54970,COFFEE WAY,01/01/96,1996,M1R1V8,M1R
54971,PHO 88,22/09/89,1989,M5T1H3,M5T
54972,DON DUARTE RESTAURANTE AND BAR,08/02/94,1994,M6H3X5,M6H
54973,THE FIRST YUNNAN CO,01/01/97,1997,M4P3B7,M4P
54974,REAGLE BEAGLE COFFEE SHOP LTD,14/05/92,1992,M9W6L9,M9W
54975,PATAYA RESTAURANT,27/08/96,1996,M4C1M3,M4C
54976,AH PING RESTAURANT,01/01/96,1996,M5T1G9,M5T
54977,THE JAMES JOYCE IRISH PUB,21/07/95,1995,M5S1X4,M5S
54978,STEPHEN'S DONUTS BILLIARD,24/09/96,1996,M9N2S2,M9N
54979,INDIAN FLAVOUR,07/04/95,1995,M5V1G4,M5V
54980,INDIAN FLAVOUR,17/08/95,1995,M5V3K2,M5V
54981,PETER'S RESTAURANT,09/01/95,1995,M6P2A4,M6P
54982,CITY SPORTS BAR,28/08/95,1995,M6J1X7,M6J
54983,ATTILA EUROPEAN RESTAURANT,20/02/97,1997,M3J3A1,M3J
54984,BAMBOO LEAF GARDEN,30/08/85,1985,M8Z1N5,M8Z
54985,CULTURES FRESH FOOD RESTAURANTS,19/03/93,1993,M5X1K7,M5X
54986,ROHAN'S CATERING,27/03/96,1996,M1J1E4,M1J
54987,,06/08/96,1996,M4M1L6,M4M
54988,BOMBAY PALACE,13/07/82,1982,M5C2H2,M5C
54989,BAROLO,01/01/84,1984,M5A2K7,M5A
54990,FONG'S RESTAURANT,06/03/89,1989,M1K2P3,M1K
54991,MRS VANELLI'S PIZZA & ITALIAN FOODS,09/07/90,1990,M3C1P8,M3C
54992,COUNTRY TIME DONUTS,01/01/97,1997,M1R1V1,M1R
54993,COUNTRY DELIGHT DONUTS,01/01/97,1997,M8V1C5,M8V
54994,MMMARVELLOUS MMMUFFINS,25/05/87,1987,M6S1P3,M6S
54995,BRASSERIE LES ARTISTES,01/01/63,1963,M5A2L2,M5A
54996,SUBWAY SANDWICHES,11/04/91,1991,M3J2C7,M3J
54997,SHING PING CITY FAST FOOD,07/02/95,1995,M5T2X1,M5T
54998,SWISS CHALET,01/01/97,1997,M4P1J4,M4P
54999,CHARLEY T'S RESTAURANT & TAVERN,14/09/94,1994,M3J2E5,M3J
55000,DANG'S BBQ DELIGHT,26/09/96,1996,M8V2W1,M8V
55001,P & P FAST FOOD,16/08/93,1993,M9C3Z8,M9C
55002,MADE IN JAPAN A TERIYAKI EXPERIENCE,16/04/93,1993,M2N5X2,M2N
55003,NEW GOLDEN CHESTNUT,01/01/96,1996,M1L1E1,M1L
55004,MR PIZZA'S ITALIAN FOOD,13/03/97,1997,M4J2S4,M4J
55005,3 FOR 1 PIZZA AND WINGS,22/01/97,1997,M1T1H6,M1T
55006,THE BERKELEY,03/06/92,1992,M5A2X1,M5A
